id,genre
3288517,Comedy
3288517,Horror
3289065,Mystery
3289065,Thriller
3289094,Comedy
3289177,Comedy
3289227,Action
3289227,Adventure
3289227,Sci-Fi
3289268,Sport
3289366,Sport
3289416,Action
3289416,Adventure
3289416,Thriller
3289449,Sport
3289506,Family
3289558,Horror
3289573,Family
3289582,Music
3289690,Drama
3289735,Drama
3289759,Drama
3289761,Action
3289764,Horror
3289789,Horror
3289789,Sci-Fi
3289789,Thriller
3289808,Drama
3289808,Romance
3289808,Sci-Fi
3289839,Comedy
3289839,War
3289858,Comedy
3289858,Drama
3289871,Comedy
3289877,Crime
3289877,Drama
3289877,Thriller
3289889,Drama
3289889,War
3289901,Horror
3289901,Thriller
3289934,Action
3289934,Comedy
3289934,Crime
3289981,Sport
3290019,Comedy
3290019,Drama
3290020,Drama
3290042,Comedy
3290042,Fantasy
3290066,Drama
3290082,Action
3290082,Comedy
3290082,Crime
3290143,Action
3290175,Action
3290175,Comedy
3290184,Drama
3290184,Family
3290184,Sport
3290202,Drama
3290202,Fantasy
3290227,Sci-Fi
3290229,Thriller
3290267,Thriller
3290275,Thriller
3290298,Crime
3290298,Drama
3290298,Thriller
3290355,Drama
3290383,Action
3290383,Thriller
3290392,Action
3290392,Drama
3290398,Drama
3290490,Comedy
3290490,Drama
3290584,Horror
3290584,Thriller
3290659,Drama
3290682,Drama
3290750,Drama
3290915,Drama
3290915,Sci-Fi
3290917,Comedy
3290917,Romance
3290989,Drama
3290989,Romance
3290992,Action
3290992,Comedy
3290992,Horror
3291032,Drama
3291033,Thriller
3291069,Drama
3291073,Comedy
3291073,Drama
3291086,Drama
3291112,Horror
3291119,Mystery
3291119,Thriller
3291143,Sci-Fi
3291180,Action
3291191,Drama
3291191,Sci-Fi
3291191,Thriller
3291199,Comedy
3291223,Comedy
3291223,Family
3291223,Romance
3291234,Drama
3291243,Comedy
3291243,Sport
3291246,Drama
3291268,Action
3291268,Adventure
3291268,Drama
3291268,Mystery
3291268,Thriller
3291311,Drama
3291340,Horror
3291340,Thriller
3291345,Drama
3291354,Drama
3291406,Comedy
3291415,Action
3291425,Drama
3291456,Comedy
3291456,Family
3291457,Action
3291457,Horror
3291457,Sci-Fi
3291464,Drama
3291467,Crime
3291467,Drama
3291467,Thriller
3291476,Comedy
3291481,Comedy
3291481,Drama
3291485,Drama
3291493,Comedy
3291495,Drama
3291495,Mystery
3291495,Sci-Fi
3291495,Thriller
3291497,Horror
3291498,Action
3291498,Drama
3291498,Thriller
